text,labels,predictions_stance,probabilities_outputs_stance
"Võib tunduda, et erakonna soov piirata kontrolli alt väljunud odava tööjõu sisserännet slaavi riikidest peaks olema venelastele vastuvõetamatu, aga tegelikult on lugu vastupidine — just väikese palga eest töötavad võõrsilt tulnud venelased, ukrainlased ja valgevenelased löövad alla keskmise palga, võtavad ära siin elavate inimeste töökohad ning kisuvad sellega alla meie elatustaset, sundides kohalikke mujale vaatama.",0,0,"[0.94, 0.04, 0.02]"
"Juuniküüditamise aastapäeval, 14. juunil avab okupatsioonide muuseum koostöös Tunne Kelami bürooga Brüsselis Euroopa Parlamendis näituse “Ründed ja ränded”, mis kõneleb Teise maailmasõja ja pool sajandit kestnud okupatsioonide aja murranguliste sündmuste mõjust nii eestlastele kui Eestimaal elanud rahvusvähemustele.",1,2,"[0.03, 0.44, 0.53]"
"„Fakt on aga see, et peame muutma Eesti pagulaspoliitika avatumaks ja panustama rohkem rändesurve leevendamisse, suurendades oma võimekust järk-järgult.”õimekus suuremaksraegu peab Eesti end võimeliseks vastu võtma 84–156 põgenikku.",2,2,"[0.02, 0.1, 0.88]"
"Eestis ettevõtlusega tegelevad riskiriikide kodanikud võtavad fiktiivselt tööle oma rahvuskaaslasi, et soodustada nende sisserännet.",0,1,"[0.21, 0.62, 0.17]"
"Hispaania valitsus teatas teisipäeval, et lihtsustab reegleid migrantidele ja töötutele põllumajanduses töö saamiseks koroonaviiruse pandeemia ajal.",2,2,"[0.02, 0.19, 0.79]"
Portaaliga rääkinud diplomaatide sõnul viibib mees Eestis õppimise eesmärgil väljastatud elamisloa alusel.,2,1,"[0.02, 0.88, 0.1]"
"Nüüd, pärast pagulastega seotus terrorirünnakuid on hakatud pagulasi sunniviisiliselt välja saatma, kirjutab eestinen.fi.",0,1,"[0.42, 0.53, 0.05]"
"Mina ei tea, ega tahagi teada!” (Jaanus)Immigrantidest“Meile öeldakse, et immigrandid on õnnetud ja me peame neid inimlikkusest aitama.",0,0,"[0.88, 0.06, 0.06]"
"Põllumajandus-Kaubanduskoja juhatuse esimees Roomet Sõrmus avaldas lootust, et seoses vabariigi valitsuse vahetusega vaadatakse nüüd uuesti üle välismaalaste seaduses kavandatud muudatused ja loobutakse mõningatest plaanitud piirangutest välistööjõu riiki lubamisel.",2,2,"[0.03, 0.35, 0.63]"
"Siin ongi see koht, kus Jüri Ratas, Andres Anvelt ja muidugi ka oravaparteilased peavad peeglisse vaatama ja tunnistama, et just nende poliitika on meid jätnud ilma neist inimestest, keda keegi immigrantidest asendada ei saa – piirivalvuritest, kaitseväelastest ja politseinikest, sest mistahes võõrleegionärid lihtsalt pole usaldatavad.",0,0,"[0.91, 0.06, 0.03]"
"""Kindlasti, kui nad on rassismi õhutavad, siis nad lähevad [vastuollu].",1,0,"[0.43, 0.42, 0.16]"
"Tagame, et põgenikke ei võta alati vastu ainult ühed ja samad riigid.”Hollande avaldas soovi, et migratsioonikriisi kõige keerulisemate punktidega tegeleksid teisipäeval siseministrid.",1,2,"[0.02, 0.24, 0.74]"
"Keskerakonna ja Reformierakonna valitsuse taktikepi all ootab meid lähiaastatel ees iseseisvuse täiendav loovutamine Brüsselile, vihakõneseaduse ehk liberaalse tsensuuri kehtestamine, homoagenda muutumine riiklikuks poliitikaks, üleeuroopalise immigratsioonipoliitika ja sundkvootide pealesurumine, ülikoolide ingliskeelestumine, uute majandust tapvate ja inimesi vaesemaks tegevate maksude kehtestamine, kodakondsus- ja keelepoliitika lõdvendamine, ukse avamine välismaisele odavtööjõule ja muu globalistlik agenda.",0,0,"[0.96, 0.02, 0.01]"
"Itaalia võttis vastu kõige haavatavamad põgenikud, kuid ülejäänutel keelati riigis maabuda.",1,1,"[0.16, 0.57, 0.27]"
Tagasilükatud asüülitaotlustega inimesi ja illegaale hakatakse Hollandist välja saatma.,1,1,"[0.07, 0.83, 0.1]"
"Sest võimulolijad näevad, kuidas olukord põlisrahva ja migrantide vahel üha pingestub, nad kardavad konflikti puhkemist, kuid suurima ohuna ei võta nad mitte pealetungivat islamit, vaid rahvuslikke jõude, kes võivad vastupanuliikumise etteotsa asuda ja islami väljapühkimise ette võtta.",1,0,"[0.84, 0.13, 0.03]"
"Otsest sidet massiimmigratsiooni ja seksuaalkuritegude sagenemise vahel on olnud raske tõestada, kuna Rootsi valitsus keeldub järjekindlalt avalikustamast infot kriminaalide etnilise päritolu kohta.",1,1,"[0.24, 0.7, 0.06]"
Riigi piirivõimekus on paari viimase nädala jooksul kõvasti proovile pandud Leedus: nende naaber - Valgevene režiim - on paari nädala jooksul organiseerinud Leedu piirile sadu illegaalseid migrante.,1,1,"[0.34, 0.62, 0.04]"
„Kutsusin sel nädalal Euroopa Liidu välisasjade nõukogu kohtumisel kõiki liikmesriike üles tõhusamaks koostööks kolmandate riikidega rändevoo peatamiseks.,2,2,"[0.01, 0.11, 0.87]"
"Viimastel aastatel on avatud Itaalia suurlinnades sadu väikeseid mini-marketi tüüpi poekesi, enamasti Bangladeshi päritolu immigrantide poolt.",1,1,"[0.15, 0.79, 0.05]"
"Hiljuti avalikustas TV3 loo sellest, kuidas modelli- ja promoagentuuri omanik Laura Kõrgemäe võib olla oma ettevõtte varjus tegelenud vahendajana seksiäri ning inimkaubandusega juba viimased kümme aastat.",1,1,"[0.05, 0.64, 0.31]"
"Salvini Põhjaliiga ja Kaczyński Seaduse ja Õigluse partei on mõlemad migratsioonivastased ega ole rahul EL-i toimimispõhimõtetega.“Erinevaid liikmesriike koheldakse väga sarnastes olukordades üsna erinevalt, nii et ilmselt on see diskrimineerimise definitsioon,” ütles Morawiecki kolmapäeval USA ringhäälingule CNBC.",0,1,"[0.41, 0.47, 0.12]"
"Teist korda kantsleriks saav Austria Rahvapartei liider Sebastian Kurz teatas, et Austria ei osale Saksamaa siseministri Horst Seehoferi plaanides jagada üle Vahemere tulnud põgenikke ELi riikide vahel.",0,0,"[0.51, 0.4, 0.09]"
"Küsides vastajatelt hinnanguid Euroopa Liidu tegevussuundade olulisuse kohta, on rändekriisi algpõhjuste lahendamine vastajate jaoks kõige esmane prioriteet.",1,2,"[0.01, 0.32, 0.66]"
"Üks noor varjupaigataotleja tunnistas, et on esitanud Itaalias taotluse, mille kohta ta sai negatiivse otsuse.",1,1,"[0.05, 0.83, 0.12]"
"Lääne-Euroopas üle mõistuse kasvav sisserände-taustaga kuritegevus pole ainult granaadi-Rootsi probleem, vaid rääkida saab ka pussitamis-Londonist ja teistest tabava nime saanud paikadest.",0,0,"[0.84, 0.14, 0.02]"
"Riik on ka tänavu uute pagulaste saabumisel teatanud, et riigil on raskusi immigrantidele elamispinna leidmisega ja siia toodud Süüria pered majutatakse seetõttu kahte pagulaskeskusesse Vaos ja Vägeval.",1,1,"[0.04, 0.76, 0.2]"
"Riigikogu Euroopa Liidu asjade komisjoni aseesimees Jaak Madison, ütles uudist kommenteerides, et inimlikust aspektist mõistab ta nii põgenike traagilist saatust kui põlastab ülevedajate küünilist himu selle pealt teenida, kuid paraku on suurte inimhulkade liikumine kontinendile eksistentsiaalse kuluga küsimus.",1,1,"[0.31, 0.41, 0.28]"
"Kuigi Leedu ja Läti tõrjuvad migrante ning on ülepääsenud laagritesse paigutanud, põgenevad rändlejad kinnipidamiskohtadest ja inimkaubitsejad veavad neid Lääne-Euroopa suunal minema.",0,1,"[0.32, 0.6, 0.08]"
Õppimiseks elamisloa saanud välismaalane saab edaspidi abikaasa Eestisse kaasa kutsuda kaks aastat pärast Eestis õppimise alustamist.,2,2,"[0.01, 0.17, 0.82]"
"USA presidendiks valitud Donald Trump ütles esmaspäeval usutluses ajalehtedele Times ja Bild, et Saksamaa liidukantsler Angela Merkel tegi katastroofilise vea, kui lasi sisserändajatel takistamatult riiki valguda.",0,0,"[0.86, 0.1, 0.03]"
Eks noored jaksa paremini multikultuursust edasi kanda helgesse tulevikku.,2,2,"[0.05, 0.12, 0.83]"
"Me teame, et Teie ühendus on juba teinud mitmeid algatusi, et ühendada linnu ning kohalikke ja piirkondlikke omavalitsusi rändajate integratsiooni probleemiga tegelemiseks, nüüd teeme Teile ettepaneku ühendada neid Euroopa tasandil.",2,2,"[0.01, 0.07, 0.91]"
"Salvini tahab ka, et teised Euroopa riigid võtaksid vastu suure osa pagulastest, kes Itaaliasse saabuvad, ja Orbán on sellele kategooriliselt vastu.",1,0,"[0.66, 0.26, 0.08]"
"Vanuserühmadest pidas pagulasteteemat suurimaks probleemiks 18-24- aastaste kodanike grupp, kellest 32 protsenti tunnistas selle suurimaks probleemiks.",1,1,"[0.04, 0.82, 0.15]"
"EKRE tõi rändepakti teema esimesena avalikkuse ette ja me jätkame võitlust, et meie riik selles paktis ei osaleks.",0,0,"[0.78, 0.15, 0.07]"
"Kolmandaks lõpetatakse teisejärgulise staatusega põgenike perekondade taasühinemise keeld ja alates augustikuust lubatakse igal kuul Saksamaale kuni 1000 migranti, kelle pered juba Saksamaal elavad.",2,0,"[0.43, 0.28, 0.29]"
"Kui ränne oleks vaibumas, siis poleks Malta initsiatiivgrupp nii meeleheitlikult üritanud migrante laiali jaotada.",1,1,"[0.08, 0.74, 0.17]"
Prantsuse rahvuslasest presidendikandidaat Marine Le Pen süüdistas tsentristist rivaali Emmanuel Macroni finantsmaailma ja islamiäärmuslaste hüpiknukuks olemises.,1,0,"[0.73, 0.21, 0.06]"
Mustanahalised on mingil põhjusel kuritegelikumad kui teiste rasside esindajad.,0,0,"[0.61, 0.3, 0.08]"
“Sallivuslased” aitavad neil oma soovituste ja muu “abiga” ennast hädalistena tutvustada ja mõrvarid seavad ennast “pagulastena” Euroopas sisse.,0,0,"[0.67, 0.09, 0.24]"
"Võib vaid ette kujutada, mida teeks tema ja teised feministid, kui jutt oleks näiteks rohinja naise väljaandmisest Myanmarile või Euroopasse jõudnud neegritari loovutamisest Eritreale – siis poleks lugenud mingid seadused ega konventsioonid.",0,0,"[0.82, 0.12, 0.05]"
"Oldi valmis tegema mida iganes, et Ankara aitaks Kreeka saartele suunduvad pagulaste ja migrantide vood lõpuks peatada.",1,0,"[0.81, 0.14, 0.05]"
"Soome suursaadik Timo Kantola ütles intervjuus Delfile, et töörände taastamine ning vaktsineeritud ja läbipõdenud inimeste riiki lubamine seisab peagi Soome parlamenti jõudva seadusemuudatuse taga.",1,1,"[0.06, 0.57, 0.37]"
"Islam ja lääne kultuuritraditsioon ei ole ühitatavad,“ ütles Helme.",0,1,"[0.25, 0.61, 0.14]"
"Toidu ja vee pärast on puhkenud kaklusi ja vähemalt üks, vaid 17-aastane paadipõgenik Süüriast on tänase seisuga ka vedelikupuudusesse surnud.",0,1,"[0.15, 0.79, 0.06]"
"Palo soovib, et riik hakkaks maksma iga võõrtöölise pealt ettevõtjatele toetust 2000 eurot.",2,2,"[0.11, 0.2, 0.69]"
"Tööandja vastutab, et välismaalane ja tema pereliikmed ei jääks Eestisse ripakile.",1,2,"[0.07, 0.37, 0.57]"
"Islamiriik ja teised terroriorganisatsioonid kasutavad aga ka inimkaubitsemisest saadud tulusid terrorismi rahastamiseks, lisas ta.",1,1,"[0.05, 0.84, 0.11]"
"Euroopa tavade suhtes vaenulikud, kuid hüvesid jahtivad immigrandid jätkavad tungi Euroopa riikidesse pagulase sildi all,“ ütles Riigikogu Konservatiivse Rahvaerakonna fraktsiooni juht Martin Helme.„Eksivad need, kes arvavad, et midagi sellist nagu Pariis veresaun või Kölni seksuaalrünnakud ei saa Eestis juhtuda.",0,0,"[0.92, 0.06, 0.02]"
"Kuidas ja kas üldse on võimalik teha EL praegustele juhtidele selgeks, et rändeteed tuleb lõpuks sulgeda?",0,0,"[0.91, 0.06, 0.02]"
"Agence France-Presse teatab, et Prantsusmaa on otsustanud olla vastu Brüsseli plaanile kehtestada kvoodisüsteem 28-liikmelisse ühendusse saabuva põgenikevoolu hajutamiseks.",0,0,"[0.51, 0.41, 0.08]"
"Liitlasriigina peaks Eesti pakkuma abi ka eesseisval USA lõunapiiri kindlustamisel illegaalsete immigrantide sissetungi vastu, leiab Sinine Äratus.",0,2,"[0.05, 0.13, 0.83]"
Rändekriisi algusaastatel oli Euroopasse saabuvate pagulaste seas 83% mehi.,1,1,"[0.03, 0.9, 0.07]"
"Samuti on vietnamlased tihtipeale olukorras, kus neil tuleb sõiduks vajalik rahasumma hiljem sihtriigis või poolel teel sihtriiki tavatutel töötingimustel tasa teenida.",1,1,"[0.06, 0.78, 0.16]"
"1990ndate lõpul tehtud uuringust selgub, et immigrantide tõenäosus vägistamise toimepanijatena oli viis korda kõrgem kui põliselanikel.",0,1,"[0.07, 0.81, 0.11]"
"Ülemöödunud aastal tabas politsei- ja piirivalveamet ebaseaduslikult rändelt 1110 inimest, neist 732 piiripunktides, 45 piiripunktide vahel ning 333 siseriigis.",1,1,"[0.04, 0.92, 0.05]"
Sest iga sisserändaja võtab põlisrahvalt hingamisruumi vähemaks.,0,0,"[0.83, 0.14, 0.03]"
Süüdistaja nõuab nüüd “Aasta pagulaselt” petusumma tagasimaksmist ja 10-kuulist tingimisi vangistust.,1,1,"[0.12, 0.6, 0.28]"
"Kardetakse, et osa sisserändajaid keeldub lahkumast, sest nende eesmärk on endiselt Suurbritanniasse jõuda.",1,1,"[0.06, 0.88, 0.06]"
"Ei, nad on saanud kogemuse, et migratsioon toob kaasa ka palju halba.",0,0,"[0.59, 0.36, 0.06]"
Biden keelitas märtsi keskel sisserändajaid loobuma USA-sse tulemast.,1,0,"[0.54, 0.37, 0.08]"
"„Ma kutsun kõiki riike lõpetama rassismi eitamist ja alustama selle lammutamist, lõpetama karistamatuse ja looma usalduse, kuulama Aafrika päritolu hääli ning astuma vastu mineviku pärandile ja seda heastama,” ütles Bachelet videopöördumises.",2,0,"[0.76, 0.1, 0.14]"
"Riigikogu esimees Eiki Nestor ütles, et ta soovib, et pagulasteemade arutelul räägitaks peamisest ehk sellest, kuidas pagulasi vastu võtta.",2,2,"[0.05, 0.39, 0.55]"
"Ka neist sündmustest tuleb kriitiliselt kirjutada, teatab Demircan, kuid lisab, et pagulaste kohtlemise kohta on meil Türgilt nii mõndagi õppida.",1,2,"[0.03, 0.33, 0.64]"
Tööpuuduse kasvades ja elu kallinedes on sõbralikke türklasi üha rohkem häirima hakanud riigis viibivad miljonid pagulased.,0,0,"[0.51, 0.45, 0.04]"
"Euroopa Nõukogu inimõigusvolinik Dunja Mijatović ütles aga, et plaan takistab tõsiselt vabaühenduse päästetöid ja nende võimet jälgida migrantide inimõigusi Egeuse merel.",1,1,"[0.15, 0.74, 0.11]"
"Usbekistan jättis oma maismaapiiri Afganistani põhjaosaga suletuks, kuid võimude teatel on nad lendude taastudes valmis afgaane abistama, et nad Saksamaale jõuaksid.",2,1,"[0.04, 0.6, 0.36]"
"Britid peaksid jaanuaris kasutusele võtma uue immigratsioonipoliitika, kus EL-i kodanikel pole enam eelisõigust.",1,0,"[0.8, 0.16, 0.04]"
"Peaminister kinnitas rahumeelse kogunemise ja sõnavabaduse õigust, kuid rõhutas, et “antisemitismil, islamofoobial ja vihakõnedel ei ole riigis kohta”, vahendab BNS.Vasakliberaalne Trudeau loodab üheaegselt kõrvaldada Kanada ühiskonnast nii “islamofoobia” kui ka antisemitismi – jõudu feministpeaministrile selleks Gaza rakettide ja Iisraeli pommide “muusika” saatel.",2,0,"[0.84, 0.09, 0.07]"
"Kreeka-Türgi piirilt tuleb kohutavaid teateid selle kohta, kuidas migrandid peksavad lapsi nutma, panevad nende pead suitsu jne, et siis joosta meediale näitama, kui julmalt mässupolitsei neid kohtleb.",0,0,"[0.8, 0.16, 0.04]"
Aastast 1989 on Taani võtnud vastu umbes 500 sellist kvoodipõgenikku.,1,2,"[0.02, 0.27, 0.71]"
"The Telegraphi andmetel oli ründajaks Somaaliast pärit sisserändaja, kes tuvastati turvakaamerate abil ja arreteeriti.",1,1,"[0.05, 0.88, 0.07]"
"Ivan Semenov on Ukraina töömigrant, kes saabus Eestisse pandeemia kõrghetkel, mil kõik riigid olid lukku keeratud.",1,1,"[0.12, 0.82, 0.06]"
"Pagulaslaagris elab hinnanguliselt 18 000 inimest, peamiselt süürlased ja palestiinlased.",1,1,"[0.04, 0.92, 0.04]"
"Sotsiaaltöötaja Franca Santoro, kelle vanemad olid samuti Saksamaale saabunud immigrandid, nentis: „Parem on probleemidest ausalt rääkida.",1,1,"[0.03, 0.5, 0.48]"
"Ehk peaks rohkem keskenduma laiemale maailmaharidusele, mis seoks omavahel soolise võrdõiguslikkuse, kliimasoojenemise, migrandid ja majanduse.",2,2,"[0.05, 0.19, 0.75]"
"Selle põhjal, mis ma nägin ja kuulsin, on türklased Süüria põgenikega kenasti käitunud.",2,1,"[0.08, 0.6, 0.31]"
"Londonis vallandas 2010. aasta rahutused nooruki tapmine Tottenhamis, mille elanikke iseloomustab mitte niivõrd rassi- või usupõhine, kuivõrd klassilisele ebavõrdsusele tuginev segregatsioon.",1,1,"[0.39, 0.53, 0.09]"
"Visegrádi grupi riigid Poola, Tšehhi, Ungari ja Slovakkia on jäigalt vastu teistesse riikidesse saabunud põgenike lubamisele oma riiki.",0,0,"[0.57, 0.35, 0.08]"
"EKRE fraktsiooni esimees Henn Põlluaas pidas kolmapäeval Riigikogus kõne, milles kritiseeris valitsuse ja Riigikogu tegevust nii rahvastikukriisi probleemkomisjoni kaotamisel kui ka välismaalaste seaduse, kõrgharidusseaduse ning õppetoetuste ja õppelaenu seaduse muutmise seaduse eelnõu tagasilükkamisel.“Eesti on enneolematus demograafilises kriisis, mille põhjustavad väike sündimus ja suur väljaränne.",1,0,"[0.47, 0.43, 0.1]"
"Euroopa Liit tegeleb väidetavalt lepingu koostamisega, mille eesmärgiks on pakkuda Tuneesiale majandusabi, juhul kui Tuneesia karmistab piirikontrolli ning takistab migrantide pääsemist Euroopasse.",1,2,"[0.04, 0.37, 0.59]"
"Sotsiaalmeedias võib näha ringlemas üht pilti, millel on kaks mustanahalist, üks Wolti, teine Bolti toidukullerikastiga.",1,1,"[0.45, 0.45, 0.1]"
"Ungari peaminister Viktor Orbán ütles teisipäeval, et Budapest on valmis vastavalt Euroopa Liidu reeglitele võtma osa migrante Austriast tagasi ning toimetama nad asukohariikidesse, peamiselt Kosovosse ja Albaaniasse.",2,2,"[0.03, 0.21, 0.75]"
"Minagi ei taha küüniline olla, aga kas selleks oli tõesti vaja ukrainlaste verd, et Läti suurendaks oma kaitsekulutusi NATO nõutud tasemele?.",1,0,"[0.45, 0.27, 0.28]"
Ja Reps paistis viimati silma inimsmuugeldajana poliitilise migratsiooni alal.,0,1,"[0.18, 0.72, 0.1]"
"„Siidisaba ühiselamus elab välistudengeid ühtekokku 36 riigist, kokku on välismaalasi alla kolmandiku kõikidest sealsetest elanikest.",1,1,"[0.03, 0.88, 0.09]"
Siseministri sõnul oli umbes 60% mõttevahetustest rändeteemal.,1,1,"[0.03, 0.89, 0.08]"
2017. aastal sisserändes oli 498 558 välismaalast rohkem kui lahkus.,1,1,"[0.02, 0.9, 0.08]"
"Kes on Brüsselis või Pariisis käinud, on näinud sealsegi heaoluühiskonna heidikuid – praegu on Pariisi metroodes ohtralt ebaseaduslikke migrante ja pilt on sadu kordi hullem kui Tallinnas.",0,0,"[0.89, 0.09, 0.02]"
"Terrorismioht on Eestile lähedal, millest annab aimu tõsiasi, et kui mõne aasta eest polnud kaitsepolitseiameti uurimises ühtegi kriminaalasja, kus oleks figureerinud termin islamiterrorism, siis 2016. aastaks oli selliseid kriminaalasju juba mitu.",1,1,"[0.12, 0.8, 0.08]"
"Neis riikides, kust peamiselt pärinevad Eestisse tulnud võõrtöölised (Venemaa ja Ukraina), on sündimus madal, ning reeglipäraselt muutub sisserändajate sündimus uuel asukohamaal veelgi madalamaks.",1,1,"[0.08, 0.87, 0.05]"
"Kui alles jäävad migrantide sundsokutamised, karistused suveräänse poliitika ajamise eest, poliitkorrektsusest tingitud poliitika lõpliku föderaliseerimise liin, siis EL-ile pikka iga ennustada ei saa.",0,0,"[0.95, 0.04, 0.01]"
"Rändeküsimusi tuleb kindlasti analüüsida, sealhulgas rahvusvaheliste kohustuste ja nende siduvuse aspekti, ja kaaluda erinevaid samme.",1,2,"[0.03, 0.41, 0.56]"
"Enamik mässulisorganisatsioone, nende seas Islamiriik ja al-Nusra, võitleb aga al-Assadi vastu.",1,1,"[0.04, 0.84, 0.12]"
"Massiimmigratsiooni tagajärg on kultuuride sulandumine või siis suisa võõrkultuuri domineerimine, mis tähendab Euroopa kultuuri ja tsivilisatsiooni hävingut.",0,0,"[0.94, 0.05, 0.01]"
"Võõrtööjõu sisseveo otstarbekust on niigi kahtluse alla seatud – sel nädalal avaldati Eesti Teadusagentuuri tellitud uuring, mille järgi puudub Eestil vajadus suureks tööjõu sisserändeks.",0,1,"[0.38, 0.5, 0.12]"
"Kõigil juhtumitel peale Berliini mõrva oli peamiseks kahtlusaluseks moslemiriigist pärit välismaalane, mis juhib valitsuse kriitikute sõnul tähelepanu Saksa asüüli- ja immigratsioonipoliitika puudustele.",1,1,"[0.39, 0.55, 0.06]"
"Vahetult pärast seesugust teadet kogunesid tuhanded migrandid Kreeka piirile ning sattusid vägivaldsesse kokkupõrkedesse Kreeka politseiga, püüdes ebaseaduslikult EL-i siseneda.",1,1,"[0.34, 0.62, 0.05]"
"Kanadas on võimul igati multikultuursust ja sisserännet soodustav Liberaalne partei, mille liider ja riigi peaminister Justin Trudeau on lubanud näiteks oma poegadest feministid kasvatada.",2,0,"[0.85, 0.11, 0.04]"
Mustast merest on saamas Lääne-Euroopasse pääseda püüdvate migrantide uus liikumiskoridor.,1,0,"[0.64, 0.34, 0.03]"
Vähegi kahtlased siin viibivad migrandid tuleb turvalisuse huvides Eestist välja saata.,0,0,"[0.55, 0.36, 0.09]"
"Tegemist on äärmiselt ohtliku tendentsiga raputada endale tuhka pähe ja panna kõigile tänastele Euroopa rahvastele vastutus eelnevate sajandite jooksul aafriklastele tehtud ülekohtu eest, õigustada massilise sisserände lubamist ning jätta Euroopa uksed maailma tuultele valla.",0,0,"[0.95, 0.03, 0.02]"
"Täna teatas naaberriik Läti, et ka nende piirivalve teeb võimalikuks migrandikriisiks ettevalmistusi.",1,1,"[0.03, 0.81, 0.16]"
"Seega me võime ja peame eeldama, et need liikumisteekonnad võivad edasi muutuda,” vastas Bertaud Soome ajakirjanike palvele kommenteerida läbi Venemaa Soome suunuduvate põgenike arvu järsku kasvu.",1,1,"[0.04, 0.87, 0.09]"
"NATO ühineb Islamiriigi vastu võitleva USA juhitud koalitsiooniga, teatas alliansi peasekretär Jens Stoltenberg neljapäeval enne NATO tippkohtumise algust, kus osaleb ka USA president Donald Trump.",1,1,"[0.05, 0.53, 0.42]"
"Ilmselt mäletavad kõik eurooplased, kuidas Saksamaa kantsler Angela Merkel hõikas 2015. aastal süürlastele: “Tulge, Saksamaa võtab kõik vastu!” Ja nad tulid, mitte ainult Süüriast, ja tulevad tänaseni, nii paatidega üle Vahemere kui ka jalgsi läbi Balkanimaade.",1,2,"[0.21, 0.19, 0.61]"
"Kasvõi kümne miljoni aafriklase, araablase või muu migrandi lisandumine kasvatab kaost kiiresti.",0,0,"[0.77, 0.2, 0.02]"
Piiririigi põhimõttelised otsused - seda eriti kriitilistes situatsioonides nagu näiteks tänane rändekriis - on suuresti nende endi kujundada.,1,1,"[0.08, 0.63, 0.29]"
Need migrandid olid ministeeriumi andmeil teekonda alustanud Liibüast.,1,1,"[0.03, 0.91, 0.06]"
"Samuti rõhutavad korraldajad, et rassistlikud need loosungid olla ei tohi.",2,2,"[0.16, 0.31, 0.53]"
ÜRO rändelepe toob muu hulgas kaasa islamirände muutmise inimõiguseks ja õõnestab rahvuste ja riikide suveräänsust.,0,0,"[0.92, 0.06, 0.02]"
Möödunud nädalal esitas Euroopa Komisjon plaani üle Vahemere saabuvate põgenike võrdsemaks jagamiseks kõigi euroliidu liikmesriikide vahel.,2,2,"[0.01, 0.17, 0.82]"
"Paljud moslemitest poliitikud on jõudnud võimusüsteemi nii Leiboristliku ja nüüd üha enam ka Konservatiivse partei kaudu, omades nii linnapeade kui ministrite ametikohti.",1,1,"[0.3, 0.63, 0.06]"
"Politsei ei avaldanud väidetava ründaja rahvust ega nime, kuid teatas, et ta elas 14-17-aastastele immigrantidele mõeldud keskuses.",1,1,"[0.06, 0.87, 0.07]"
"Kui Kristina Kallas või Sveta Grigorjeva abielluks neegriga, peaksid nende lapsed juba kolme kultuuri edasi kandma, seega aga pole enam reaalne.",0,0,"[0.89, 0.08, 0.03]"
"Itaalia siseminister Matteo Salvini kutsus pühapäeval oma võiduka erakonna Liiga iga-aastasel suurkogu üles looma üleeuroopalist liitu massilise sisserände vastu, olles eelnevalt deklareerinud, et selle riigi sadamad on vabaühenduste laevadele suletud.“Ma mõtlen liigade Liigale Euroopas, mis ühendab vabu liikumisi, mis soovivad kaitsta oma piire ja oma laste heaolu,” ütles Salvini partei viiendal kongressil Põhja-Itaalia sadamalinnas Pontidas, vahendab BNS.Üritusel osales umbes 50 000 inimest kogu Itaaliast, teatas kohalik meedia, keda oli kohale toonud Salvini “itaallased ennekõike” üleskutse.",0,0,"[0.54, 0.33, 0.13]"
Pariisi terrorirünnakute sooritajad olid sisserändajad!,0,0,"[0.68, 0.26, 0.05]"
Tugevdada rände globaalset valitsemist tuues Rahvusvaheline Rändeorganisatsioon (IOM) ÜRO süsteemi.,2,2,"[0.02, 0.21, 0.77]"
"Vastus: Pean taas kinnitama, et demograafilisest olukorrast tingitud tööjõupuudust ei saa lahendada rände abil, sest ka sisserännanud vananevad.",1,1,"[0.19, 0.61, 0.21]"
"Ungari välisminister Péter Szijjártó ütles, et rahvusvaheline üldsus, sealhulgas ÜRO ja Euroopa Liit, peaks aitama põgenikel oma kodumaale tagasi pöörduda, mitte rännet ergutama.",1,2,"[0.02, 0.17, 0.81]"
"Sotsiaalmeedias täna levinud infot kontrollides selgitas politsei välja, et tegemist on alusetu kuulujutuga, justkui elaks Sitsi tänaval kahes korteris kümneid põgenikke, kes vägistasid 13-aastase tüdruku.",1,1,"[0.17, 0.77, 0.06]"
Swaini hinnangul on migratsioonivastuolud peamine katalüsaator parempopulismi tõusule kogu Euroopas.,1,1,"[0.28, 0.65, 0.07]"
"Kinnitused, et immigrandid ei ole potentsiaalseks ohuks Euroopale ei päde.",0,0,"[0.46, 0.43, 0.11]"
"On loomulik ja igati inimlik aidata sõjapõgenikke ning minu jaoks on iseenesestmõistetav, et sõjakoleduste eest põgenevad eelkõige naised ja lapsed, aga mitte see, et üle Vahemere tuleb sadu 18–25-aastaseid mehi, kes pole pärit mitte sõjakolletest, kes on vahendajatele üleviimise eest maksnud kopsaka summa ning kes kohale jõudes ainult Euroopa sotsiaalabile loodavad.",0,2,"[0.19, 0.34, 0.47]"
"Mitu Iraani toetatud šiiitlikku poolsõjalist rühmitust alustas laupäeval pealetungi Islamiriigi positsioonidele Mosulist läänes, aidates kaasa linna tagasivõtmisele sunniitliku terrorirorganisatsiooni käest.",1,1,"[0.1, 0.79, 0.11]"
"Maailmaorganisatsiooni pagulaste ülemvoliniku amet andis täna teada, et nende meelest ei pruugi EL-i ja Türgi vahel plaanitav rändekriisi lahedamise kokkulepe ühtida võetud rahvusvaheliste kohustustega.",1,1,"[0.05, 0.81, 0.15]"
"Euroopa ja kogu Lääne liberaalne migratsioonipoliitika on eriti värdjalik – esiteks on see võõraste suhtes lömitav ja endast lahti ütlev, neile kõike lubav ja neid kohustustest ning vastutusest vabastav; teiseks aga on see kisendavalt ülekohtune ja hävitav põlisrahvaste suhtes, kellelt võetakse kõik – kodu, soetatud vara, tihti ka au ja väärikus!Integratsioonid on kogu maailmas ja alati läbi kukkunud – ei ole ükski migrant kunagi huvitatud muutumisest kellekski teiseks.",0,0,"[0.95, 0.03, 0.02]"
