sentence,stanceConsolidated,stanceNotConsolidated,coderConsolidated,coderNotConsolidated,publishDate,title,publisherGroup,publisher,category,keywordGroups,keywords,author
"Sajaprotsendiliselt võib kindel olla, et ei Kallase ega Ratase valitsus ei hakka vastu kellelegi, kes hakkavad kord rändeleppe kaudu migrante jaotama.",MH,MH,J,J,13.11.2018 19:20,"isegi kui Marrakechi lepe poleks siduv, teeksite te selle endale kohustuslikuks",UuedUudised,UuedUudised,Arvamus,['ränne'],"['migra', 'rände']",
"Tegu on muidugi ameerika nn rassirahutustega ja põlevad demokraatide valitsetud linnad, millel niikuinii ei ole tulevikku.",MH,MH,J,J,31.05.2020 09:53,( : ) kivisildnik: Märatsejate väärastunud mõttemaailm,UuedUudised,UuedUudised,Arvamus,['rass'],['([\\W ]|^)rass'],
Me peame muretsema kolmanda maailma riikidest pagevate majandusmigrantide pärast ja neid aitama.,4,4,J,J,07.01.2020 06:45,"Kas süda ikka muretseb, kui võitlustes on oluline protsess, mitte tulemus?",UuedUudised,UuedUudised,Arvamus,['ränne'],['migra'],
Lisaks sellele on Saheli-tagune Must Aafrika uus suurem rändepiirkond.,3,3,J,J,30.07.2018 08:22,Augustist on Eesti sõjas — Mali on sõdiv riik ja missioonisõdurid üks vaenupooltest,UuedUudised,UuedUudised,Eesti,['ränne'],['rände'],
"Eilse Vao küla ühissõidu üritusel oli vallavanema arvates kaks eesmärki: ""Eesti rahas võitleb massiimmigratsiooni vastu, ja ma arvan, et Väike-Maarjas ei ole ühtki inimest, kes vastupidist arvaks.",2,2,J,J,05.07.2015 11:41,"Vallavanem Vao küla ühissõidust: kui inimestele on haiget tehtud, tuleb seda välja öelda",EkspressGrupp,Delfi,,['ränne'],['migra'],
"Sa saad selgelt aru, mis see on - ajutine pilv, mis rändab üle taeva.",MH,MH,J,J,14.03.2020 08:05,"Alkeemia lugemisnurk | Õpi väärtustama end sellisena, nagu sa oled",EkspressGrupp,Alkeemia,,['ränne'],['rända'],
"Tegu on ehtsaima rassismiga, kusjuures enam mitte valgete rassismiga teise nahavärviga inimeste, vaid rassismiga valgete vastu.",MH,MH,J,J,28.12.2019 06:43,Kas Kalevite rahvas hakkab kummardama võõraste ja kaugelt tulnute ees?,UuedUudised,UuedUudised,Eesti,['rass'],['([\\W ]|^)rass'],
Venemaa föderaalse julgeolekuteenistuse (FSB) direktor Aleksandr Bortnikov rääkis terroristliku ideoloogia levimise ohust sisserändajate hulgas ning kutsus üles suurendama migratsiooniseadusandluse täitmist kontrollivate ametnike vastutust.,2,2,J,J,11.04.2017 10:17,FSB direktor: terroristlike rühmituste tuumiku Venemaal moodustavad töömigrandid SRÜ-st,EkspressGrupp,Delfi,,['ränne'],"['migra', 'rända']",
Mullu pälvis rändauhinna Kadrina vabatahtlik päästekomando.,MH,MH,J,J,16.06.2019 08:58,FOTOD | Parimaks priitahtluse edendajaks päästealal tunnistati Roela vabatahtlik päästekomando,EkspressGrupp,Delfi,,['ränne'],['rända'],
"“Mees on Norra kodanik, kelle suhtes on välja antud rahvusvaheline vahistamismäärus,” ütles julgeolekupolitsei eestkõneleja Trond Hugubakken ajalehel VG.Nagu näete, on ühel õigel pühasõdalasel nii Norra kui Rootsi kodakondsus, terrorismiuurijale on ta “rootslane”, tema tegelikku tausta ehk usku ja päritolumaad ei avalikustata ja nii ongi Rootsi ja Norra terrorismipesad, kui asja multikultuurselt vaadata.",3,3,J,J,07.03.2019 10:05,Süürias tabati Norra ja Rootsi kodanikust Islamiriigi värbaja,UuedUudised,UuedUudised,Maailm,['paremäärmus'],['multikult'],
"Kuigi juba ammu on selge, et tegu pole sõjapõgenikega, vaid kogu Aafrika mandrilt pärit illegaalse rändega, jätkavad Itaalia merevägi ja muud abiorganisatsioonilt innukalt paadimigrantide korjet Liibüa ranniku lähedalt ja nende transportimist Euroopasse, kus algatatakse aina uued ja uued asüülimenetlused ja ümberjagamised teistesse Euroopa riikidesse.",3,3,J,J,29.08.2016 19:34,Itaalia merevägi ja vabatahtlike organisatsioonid toetavad inimsmugeldamist täiel rinnal edasi,UuedUudised,UuedUudised,Maailm,"['ränne', 'pagulased']","['migra', 'rände', 'asüül', 'põgenik', 'illegaal']",
"On loomulik ja igati inimlik aidata sõjapõgenikke ning minu jaoks on iseenesestmõistetav, et sõjakoleduste eest põgenevad eelkõige naised ja lapsed, aga mitte see, et üle Vahemere tuleb sadu 18–25-aastaseid mehi, kes pole pärit mitte sõjakolletest, kes on vahendajatele üleviimise eest maksnud kopsaka summa ning kes kohale jõudes ainult Euroopa sotsiaalabile loodavad.",2,2,J,J,27.03.2019 11:55,"Rakvere ettevõtja: “Ma toetan Keskerakonna, EKRE ja Isamaa koalitsiooni”",UuedUudised,UuedUudised,Arvamus,['pagulased'],['põgenik'],
Teised iraanlased väljendavad aga muret ja kartust.,3,3,J,J,29.11.2018 22:05,"USA sanktsioonid tabavad Iraani tavainimesi, kuid mullade võim püsib",EkspressGrupp,Eesti Päevaleht,,['rahvus'],['iraanla'],
"Sisserände piirarvu alt on välja toodud näiteks inimesed, kes tulevad Eestisse õppima, tööle info- ja kommunikatsioonitehnoloogia erialasel ametikohale, idufirmasse või seoses teadustegevusega, ning inimesed kes tulevad Eestisse ettevõtluseks seoses idufirmade või suurinvesteeringutega.",4,4,J,J,12.04.2018 13:27,EKRE: valitsus paotab rahvastiku väljavahetamiseks üha enam erinevaid uksi,UuedUudised,UuedUudised,Majandus,['ränne'],['rände'],
"Kuigi majutusepakkujad mõtlevad täna juba rohkem diginomaadidele, siis tasub veenduda ja kindlasti üürileandjalt uurida, kui kiire internet su ööbimiskohas on.",4,4,J,J,03.10.2021 11:02,"Kogemuslugu Tenerifelt: mitte ainult rannapuhkus, vaid efektiivne kaugtöösihtkoht",EkspressGrupp,Reisijuht,,['välistööjõud'],['nomaad'],Brigita Brjuhhanov
"Isegi kui mõõdukas moslem on valmis aktsepteerima euroopalikke väärtusi, sealhulgas naiste õigusi, takerdub nende lõimumistahe kohe kindlasti, kui nad näevad tänavatel sooneutraalseid olevusi või geiparaadi ülinapis nahkriietuses meestega.",1,1,J,J,18.12.2020 08:26,Prantsusmaa arengud võivad saada kogu Euroopa tuleviku lakmuspaberiks,UuedUudised,UuedUudised,Maailm,['rahvus'],['moslem'],
"Kes iganes iidse hoone kavandajad ja rajajad tegelikult polnud, mäletavad legendid neid nüüdseks vaid kui hiiglaste, nn quinametzini rassi esindajaid, kes asteekide muistendite kohaselt asustasid Maad meie ajastule eelnenud Päikesevihma (Nahui-Quiahuitl) ajastul.",MH,MH,J,J,04.06.2021 11:54,Maailma suurim püramiid asub künka sees ja selle peale on ehitatud kirik,EkspressGrupp,Forte,,['rass'],['([\\W ]|^)rass'],Lauri Jürisoo
Võimekust migrante vastu võtta pole Euroopas eriti kellelgil – seda näitavad nii ülerahvastatud Moria laager Lesbose saarel Kreekal kui ka põgenike kuhjumine Prantsuse sadamalinnas Calais`is ja sisserändajate taustaga kuritegevuse meeletu kasv Rootsis.,3,3,J,J,09.10.2019 06:50,Üle Vahemere kulgeva migratsiooni ümber käib suur hämamine,UuedUudised,UuedUudised,Arvamus,"['ränne', 'pagulased']","['migra', 'rända', 'põgenik']",
"Üle maismaapiiri tuleb ebaseaduslikke migrante suhteliselt vähe, paarsada aasta jooksul ja nad püütakse enamasti kinni, suuresti tänu piirialade elanike valvsusele.",3,3,J,J,10.09.2019 06:03,rändesurve on kõrvaga kuuldav ja silmaga nähtav,UuedUudised,UuedUudised,Arvamus,['ränne'],['migra'],
Ramadi langes Islamiriigi kätte sama aasta mais ning seda peeti Iraagi armeele häbiväärseks lüüasaamiseks.,MH,MH,J,J,19.03.2016 09:01,Iraagi valitsusväed asusid Hiti linna Islamiriigilt tagasi vallutama,EkspressGrupp,Delfi,,['rahvus'],['islam'],
"ilmus prantsuse kirjaniku Michel Houellebecqi sulest romaan „Soumission“ („Alistumine“, e.k 2017. aastal), mis kirjeldab seda, kuidas Prantsusmaal võidab parlamendivalimised islamistide partei ning kogu riik pannakse lühikese ajaga elama islamiseaduste järgi.",MH,MH,J,J,03.03.2021 00:30,"Prantsusmaa siseriiklik võitlus islamistidega, kaua oodatud",EkspressGrupp,Eesti Ekspress,,['rahvus'],['islam'],Andrei Hvostov
"Näiteks osa meie tööst puudutab pagulasi, migrante ja kodakondsuseta inimesi.",3,3,J,J,22.08.2020 10:02,"DELFI Minskis | Hirmutatud advokaadid, kadunud inimesed, algatamata kriminaalasjad: kohalik inimõiguslane kirjeldab Valgevene võimude skeeme",EkspressGrupp,Delfi,,"['ränne', 'pagulased']","['migra', 'pagula']",Eesti Päevalehe ja Delfi erikorrespondent
"Selle valgusel, et koalitsioon on otsustanud algaval nädalal tagasi lükata EKRE esitatud välismaalaste seaduse eelnõu, mis on esitatud massiimmigratsiooni ja võõrtööjõu vohamise takistamiseks, on kõik võimalik.",4,4,J,J,29.05.2021 04:49,Henn Põlluaas: kelle eest tahab valitsus Eestis juute kaitsta?,UuedUudised,UuedUudised,Arvamus,"['ränne', 'välistööjõud']","['migra', 'võõrtöö', 'välismaala']",
"Miks ei peakski bulgaarlased mehesse hirmuga või vähemalt ettevaatusega suhtuma – ilmselt teavad nad uudistest nii seda, kuidas Kreeka Lesbose saarel migrandid ise oma laagri põlema pistsid, kui ka seda, kuidas migrandid kevadel Türgi-Kreeka piiril Kreeka piirivalvureid kividega loopisid.",2,2,J,J,28.11.2020 13:40,poliitkorrektne öökimaajav filmifestival?,UuedUudised,UuedUudised,Eesti,"['ränne', 'pagulased']","['migra', 'piirivalv']",
Sildam küsis Allerilt: „Näiteks Soome ja Saksamaa toovad põllumajandusse hooajatöölised lennukitega Ukrainast ja Valgevenest.,MH,MH,J,J,28.04.2020 08:24,"ERR-i reporter tahab ukrainlasi Eesti põllule, andmata endale aru, et Ukraina ei lase neid väljagi",UuedUudised,UuedUudised,Arvamus,['välistööjõud'],['hooajatöö'],
"Mis aga puutub rassistlikesse ja misogüünsetesse seisukohtadesse, siis teab Kaljulaid oma kodumaa taustal väga hästi, et need on ainult sildid, mida vasakliberaalid kleebivad külge oma poliitilistele oponentidele.",MH,MH,J,J,03.12.2019 07:01,Eesti presidendi ja Rooma paavsti ühiste seisukohtade kohta on Raamatute Raamatus hea mõiste,UuedUudised,UuedUudised,Eesti,['rass'],['([\\W ]|^)rass'],
"See tähendab ka, et mõned ohvitserid said ülendusi, milleks nad polnud kvalifitseeritud.”Sõjaväes paneb sõdurite suhted paika määrustik ja muuhulgas peaks see ka keelama mistahes rassismi, nii mustadelt valgetele kui ka vastupidiselt suunatud, aga ka kõik muud normaalseid inimestevahelisi suhteid rikkuvad nähtused.",MH,MH,J,J,26.01.2021 15:58,Ühegi riigi relvajõud ei saa lubada enda muutumist seksimängumaaks,UuedUudised,UuedUudised,Maailm,['rass'],['([\\W ]|^)rass'],
"Mille peale pirtsakas beibest ettekandja hakkas seletama, et klient ei tea veel, kui kole koht see on, ja rassistlik.",MH,MH,J,J,03.01.2021 16:13,Postimehe ajakirjaniku Evelyn Kaldoja lood kui näide tegelikust vihaõhutusest,UuedUudised,UuedUudised,Eesti,['rass'],['([\\W ]|^)rass'],
Pea lahtised piirid võimaldasid Islamiriigi võitlejatel koos relvadega läbi pääseda ning tegutseda otse Erdo?ani nina all.,2,2,J,J,02.01.2017 12:35,KAART JA TABEL: Türgi terroristide hirmu all,EkspressGrupp,Delfi,,['rahvus'],['islam'],
Inimeste veega varustamine on ÜRO pagulasabi peamine teema ja sellega püüab aidata ka Punane Rist.,4,4,J,J,28.07.2015 21:10,"Kuidas tegeleda põgenikega, kui neid on riigis miljoneid?",EkspressGrupp,Eesti Päevaleht,,['pagulased'],['pagula'],
"Tulijatest umbes kolmveerand on iraaklased, Valgevene kodanikke on kaduvvähe.",3,3,J,J,05.08.2021 13:03,KAART ja GRAAFIKUD | Millistest Leedu piirilõikudest kõige rohkem migrante sisse pääseb? Kes on tulijad?,EkspressGrupp,Delfi,,['rahvus'],['iraakla'],Imbi Võrel
"Nagu võis ette arvata, ei läinud intervjuu kuigi ladusalt, sest reporterit huvitasid peale rahateemade ka EKRE rahvusvahelist kajastust saanud käemärgid, mis viitavad valgete ülemvõimule, ja rassismisüüdistused.",MH,MH,J,J,29.05.2019 21:06,Tagatoas kuuldud. Roosa lehe üllatus Helmele. Lukas otsib Tartus kontorit?,EkspressGrupp,Eesti Päevaleht,,['rass'],['([\\W ]|^)rass'],
"Mäletate, kuidas vanurist miljardär ja globalist Soros tänavu jaanuaris Davosi majanduskohtumisel Google`i ja Facebooki sarjas ja neile kadu lubas?",MH,MH,J,J,27.07.2018 08:54,Kas näoraamatust on saamas lõustaraamat — Facebook käib kõvasti alla ja mängus võib olla ka Soros,UuedUudised,UuedUudised,Varia,['paremäärmus'],['globalist'],
"Kui ajakirjanikud küsisid kuuekordselt maailmameistrilt Hamiltonilt, kas läbitud progress rassilise probleemi lahendamiseks on teinud teda uhkeks, vihaseks või pettunuks, vastas Hamilton pettunult.",MH,MH,J,J,25.07.2020 10:08,Pettunud Hamilton: F1 ei toeta mind piisavalt,EkspressGrupp,Sport,,['rass'],['([\\W ]|^)rass'],Karl Aavik
"„Vaadake, mis toimub Saaremaal, kuhu on viidud umbes 40 pagulast!",MH,MH,J,J,14.02.2016 22:10,Kümned kaitseliitlased ja tegevväelased seovad ennast Odini sõdalastega,EkspressGrupp,Eesti Päevaleht,,['pagulased'],['pagula'],
"Muulase saatus Eesti rahvusriigis peab olema puuderdatud parukas, torusuu, torusoo, eemal või ära.",1,1,J,J,16.05.2021 05:17,Piret Kivi: enamikule inimkonnast käib integratsioon selgelt üle jõu,UuedUudised,UuedUudised,Arvamus,['mittekodanikud'],['muula'],
"Nad on peamiselt sama etnilise taustaga kui varjupaigataotlejad, kellelt välja pressitakse.",3,3,J,J,21.09.2015 07:12,"Soomes tegutsevad inimestega salakaubitsejate jõugud, kes tegelevad väljapressimise, ähvardamise ja reisivõlgade sissenõudmisega",EkspressGrupp,Delfi,,['pagulased'],['varjupaigataotl'],
"Ükskõik kui palju inimesi ka ei hääleta erakonna poolt, kelle retoorikas on rassism, ksenofoobia, naiste solvamine jne, ei pane see kunagi väga suurt hulka inimesi neid seisukohti tunnustama.",MH,MH,J,J,28.05.2019 21:25,Väärtuskonflikte ei lahendata valimistega,EkspressGrupp,Eesti Ekspress,,"['paremäärmus', 'rass']","['ksenofoob', '([\\W ]|^)rass']",
Võltsitud dokumentide avastamine on tänu piiripunktides kasutusel olevale tehnikale ja ametnike pädevusele Püvi kinnitusel kõrgel tasemel ning ebaseaduslik ränne Euroopa suunal püsivalt aktuaalne.,3,3,J,J,11.07.2018 14:00,Sel nädalal on Eesti piirilt tagasi saadetud neli välismaalast,EkspressGrupp,Delfi,,['ränne'],['ränne'],
Korsikal olid viimati suuremad probleemid sisserändajatega detsembris.,3,3,J,J,15.08.2016 13:09,Kultuurikonflikt Korsikal põhjustas rahutused ja vägivalla sisserännanud moslemite ja põliselanike vahel,UuedUudised,UuedUudised,Maailm,['ränne'],['rända'],
"Martin Helme rääkis ka sellest, et kui Prantsusmaal oli rahutuste aluseks kütusehinna tõus, siis Belgias ja Hollandis tundsid inimesed juba seda, et nende omad valitsused rahvaga ei tegele – nad tegelevad migratsiooni ja kliimaleppega, millel pole rahva heakskiitu, aga kulud maksavad kinni lihtinimesed.",MH,MH,J,J,09.12.2018 11:49,“Räägime asjast”: Euroopas on alanud rahvaste vastupanuliikumine oma riikide valitsustele,UuedUudised,UuedUudised,Eesti,['ränne'],['migra'],
"Itaalia immigrantide juurest jõudsid saatejuhid Eesti ettevõtjateni, kellest üks kollaboratsionist, Olari Taal, väitis, et võõrad tulevad nagunii.",MH,MH,J,J,27.05.2018 09:46,“Räägime asjast” välispoliitikaveerg: Itaalia esitab väljakutse eurole ja Saksamaa võimutsemisele,UuedUudised,UuedUudised,Eesti,['ränne'],['migra'],
"See kett on ulatunud ka läbi pagulaseestlaskonna, kes on Eesti Vabariigi seadusi palju aastaid ülal hoidnud.”",4,4,J,J,22.08.2019 21:05,„Meie tee on vabaduse tee.” Balti kett 1989. aastal Eesti ja Välis-Eesti ajalehtedes,EkspressGrupp,Eesti Päevaleht,,['pagulased'],['pagula'],
"Iraaklane, kes töötas Viinis taksojuhina, tunnistas „vea“ tegemist ja ütles, et ei tahtnud poissi vigastada.",MH,MH,J,J,06.02.2016 13:15,Iraagi põgenik vägistas 10-aastase poisi ja põhjendas seda seksinäljaga,EkspressGrupp,Delfi,,['rahvus'],['iraakla'],
"Prantsuse Rahvusrinde inimesed rääkisid, et riigis on salastatud demograafiline andmestik, aga tänaseks on juba üle 30 protsendi elanikest moslemid, ja sisseränne muudkui kasvab.",3,3,J,J,17.07.2021 05:09,SUUR INTERVJUU: Martin Helme: rahvuskonservatiivid on parim alternatiiv tänasele Eestit lammutavale valitsusele,UuedUudised,UuedUudised,Arvamus,"['ränne', 'rahvus']","['ränne', 'moslem']",
„Piiratud on välismaalaste sissepääs – eelkõige Vene Föderatsiooni kodanike.,2,2,J,J,30.11.2018 08:38,Ukraina keelas riiki sisenemise meessoost Venemaa kodanikele,EkspressGrupp,Delfi,,['välistööjõud'],['välismaala'],
"Varem on Mercedes kasutanud hallikaid ja valgeid kombinesoone, aga tänavuse hooaja eel otsustas tiim rassimi vastu võitlemise eesmärgil nii auto kui ka kombinesoonid mustaks värvida.",MH,MH,J,J,17.08.2020 14:53,Rassismi vastu võitlemise nimel mustaks värvitud kombinesoon tekitab Soome vormelitähele probleeme,EkspressGrupp,Sport,,['rass'],['([\\W ]|^)rass'],Ats Kuldkepp
"Samuti kirjutab Kälvemark, et Eesti viimastel parlamendivalimistel kaheksa protsenti häältest saanud konservatiivse rahvaerakonna juht on otse kuulutanud, et tahab kõik põgenikud välja saata, kui peaks võimule tulema, ning on väljendanud intervjuus muret värviliste isikute arvu suurenemise pärast Tallinna tänavatel.",2,2,J,J,02.09.2015 06:29,"Rootsi literaat: Balti riigid peavad pagulaste eest vastutuse võtma, sest osalesid ka ise segaduse tekitamises Lähis-Idas",EkspressGrupp,Delfi,,['pagulased'],['põgenik'],
"Soome populistliku Põlissoomlaste partei juht Jussi Halla-aho on aastatega oma vastuolulist retoorikat pehmendanud, kuid ütleb, et valitsusse läheks ta ainult siis, kui teised erakonnad oleks nende immigratsioonipoliitikaga nõus.",3,3,J,J,21.03.2019 09:52,"Põlissoomlaste juht Delfile: populistide toetus säilib ka valitsuses, kui olulistel teemadel kompromisse ei tehta",EkspressGrupp,Delfi,,['ränne'],['migra'],
"Sellest hetkest peale, kui Euroopa Liit hakkas kvoodipagulasi liikmesriikidele ähvardustega peale suruma, on Eestis räägitud sellest, kuidas neid ühiskonda lõimima hakatakse, selle jaoks on eraldatud tohutud summad, tehtud arvukalt projekte, kuigi on juba ette teada, et sellest midagi välja ei tule.",2,2,J,J,27.05.2018 10:45,"Lasnamäe taustal immigrantide lõimimisest rääkiv poliitik on valetaja, kurjategija ja eesti rahva reetur",UuedUudised,UuedUudised,Arvamus,['pagulased'],['pagula'],
"Ühesse vähestest riikidest, kuhu iraaklased viisavabalt reisida saavad.",MH,MH,J,J,20.11.2021 20:15,Sissevaade Leedu pagulaslaagritesse: päris inimeste päris lood on jäänud tagaplaanile,EkspressGrupp,Delfi,,['rahvus'],['iraakla'],MTÜ Eesti pagulasabi
Kolmandal kohal on illegaalse immigratsiooni piiramine.,MH,MH,J,J,30.04.2017 16:05,Trumpi esimese 100 päeva 10 positiivset saavutust,UuedUudised,UuedUudised,Maailm,"['ränne', 'pagulased']","['migra', 'illegaal']",
"Neile sekundeerib elamislubade müümisega Eesti julgeolekut „kindlustanud“ Isamaa.„Suveräänsuse eest võitlemine on nii Ungaris kui Poolas toonud kaasa majandustõusu, millest ei saa osa mitte üksnes koorekiht nagu meil, vaid laiad rahvahulgad.“Mart HelmeTegelikkuses näeme aga saamatusest ja poliitkorrektsusest tingitud spiooniskandaale, Moskva isandate südant üliväga rõõmustavat orjatööjõu massilist sisselubamist slaavi riikidest ning vene mafiosnikute, uusrikaste ja valitseva eliidi rahajõgede pesemist Eesti pankades.",2,2,J,J,08.10.2018 11:27,Mart Helme: Vaid suveräänsus tagab jõukuse,UuedUudised,UuedUudised,Eesti,['mittekodanikud'],['elamisluba'],
Sinna kuulusid ka rände piiramine ja traditsiooniliste väärtuste kaitsmine.,MH,MH,J,J,22.03.2021 07:34,Tõnis Saartsi “koroona õppetunnid” on pigem ideoloogi nägemus kui mõistlik õppematerjal,UuedUudised,UuedUudised,Arvamus,['ränne'],['rände'],
"Ehk aafriklasi, aga mitte eestlust.“Lenin oleks uhke.",MH,MH,J,J,31.03.2019 15:37,Tartu Ülikooli tudengi heietused panevad mõtlema,UuedUudised,UuedUudised,Eesti,['rahvus'],['aafrikla'],
"Kas Ayo ei arva, et tema vältimise aluseks ongi see, et aafriklaste invasioonis nähakse ohtu turvalisusele?",MH,MH,J,J,16.03.2020 11:29,Ajakirja Pere ja Kodu Ayo migrandilugu avab silmad Eestis vargsi toimuva suhtes,UuedUudised,UuedUudised,Arvamus,['rahvus'],['aafrikla'],
"Django Unchained (Vabastatud Django, 2012): valged kiusavad musta meest, must kiusab vastuQuentin Tarantino ülivägivaldses antivesternis võtab mustanahaline Django ette ja saadab loojakarja terve hunniku valgenahalist eliiti.",MH,MH,J,J,09.08.2016 21:30,Valge mehe karm jõud,EkspressGrupp,Eesti Ekspress,,['rass'],['mustanahali'],
"„Kaks kalifaadi sõdurit viisid läbi märtrioperatsioonid uskmatute urus Sayyida Zeinabi piirkonnas, tappes ligi 50 ja vigastades umbes 120 inimest,“ teatas Islamiriik.",MH,MH,J,J,01.02.2016 05:32,FOTOD ja VIDEO: Vaatluskeskus: Islamiriigi pommiplahvatused tapsid Süüria �iiidi pühamu juures 71 inimest,EkspressGrupp,Delfi,,['rahvus'],['islam'],
"Me otsustasime koos Saksamaa advokaatide ühendusega ja meie liikmete abiga rahastada seda, et Euroopa advokaadid saaksid minna põgenikelaagritesse ja töötada seal mõned kuud.",4,4,J,J,09.04.2017 21:05,Euroopa advokatuuride president: võimud ei tohi advokaate pealt kuulata,EkspressGrupp,Eesti Päevaleht,,['pagulased'],['põgenik'],
"Olin otsustanud, et kuigi mulle tavaliselt selline asi väga ei istu — looduses ringi tatsata ainult selle eesmärgiga, et jõuda samasse kohta tagasi, kust alustasin —, siis täna siiski teen seda, et endasse jäädvustada vaade Islamabadile.",MH,MH,J,J,03.10.2020 19:00,"ÄPARDUNUD REISILOOD | “Te kindlasti teate, kust siin viskit osta saab?” pilgutasin ma kavalalt silma. Kõik vaatasid mind kohkunult",EkspressGrupp,Reisijuht,,['rahvus'],['islam'],Rene Satsi
Ehtsas rahvusriigis ei tohiks võõramaalased end mitte kunagi eestlasteks kutsuda.,1,1,J,J,23.06.2021 06:40,Piret Kivi: teel rahvusriigist Euroopa Liidu koloniaalsesse libarahvusriiki,UuedUudised,UuedUudised,Arvamus,['välistööjõud'],['võõramaala'],
"Kotkaristi teise klassi teenetemärgi saab Itaalia presidendi kaitsenõunik kindral Roberto Corsini, vahendab BNS.Kogu see pikk autasustatavate ametnike rodu näitab, et euroametnikust määratud presidendini jõudnud Kaljulaid “oskab” hinnata ametimeeste rolli, eriti kui need ajavad õiget, globalistlikku asja.",MH,MH,J,J,02.07.2018 16:50,President Kaljulaid külvab globalistist Itaalia presidendi ja tema kaaskonna riiklike autasudega üle,UuedUudised,UuedUudised,Maailm,['paremäärmus'],['globalist'],
"Mulitkultipropaganda on lihtsalt toiminud!Ohtude nägemine sõltub ümbritsevast keskkonnastGlobalist Ilmar Raag toob taas negatiivsusele seadistatud arvamuse, et mida vähem saab inimene kaasa lüüa ühiskondlikus elus, seda rohkem toetab ta äärmusi.",1,1,J,J,19.11.2018 12:01,"Emori uuring: valikute asemel “hirmud”, teatud ühiskonnagruppide naeruvääristamine, “õiged” ja “valed” vaated",UuedUudised,UuedUudised,Eesti,['paremäärmus'],['globalist'],
"Keegi kuskil märkis mokaotsast, et iseennast oma tegevusega vaeseks teinud migrante poleks vaja vastu võtta, mis oli ainus mõistlik mõte.",2,2,J,J,19.11.2018 10:14,rändelepe ega migratsioon ise polevat midagi hullu,UuedUudised,UuedUudised,Eesti,['ränne'],['migra'],
Jõukas elu ja massiimmigratsioon välistavad teineteistMassiimmigratsioon pole heaoluriigi paratamatu kaasnähtus.,2,2,J,J,31.12.2018 14:00,"Kaspar Arro: rändepakt, heaoluühiskond ja lihtsa palgatöötaja valikud",UuedUudised,UuedUudised,Arvamus,['ränne'],['migra'],
"Kuna kõik Vahemerel asuvad päästelaevad on migrandikoormaga kohe Itaalia sadamatesse tõtanud, jäävad need juriidiliselt selle riigi kaela.",2,2,J,J,24.01.2019 15:02,Itaalia valitsuse tegevus on Vahemere inimkaubandusele tõsise piduri peale pannud,UuedUudised,UuedUudised,Maailm,['ränne'],['migra'],
"Kui jätame nüüd eestlased üldse mängust välja, siis olekski päris huvitav teada, mis juhtub siis, kui venelased nahutavad “pederasti” või peksavad läbi mustanahalise?Mitte midagi ei juhtu” Selliseid juhtumeid on kindlasti juba olnud, erinevalt eesti kogukonnast, kelle puhul on absoluutne enamus kseno- ja homofoobia juhtumitest välja mõeldud.",1,1,J,J,01.09.2019 08:06,“Rassismi” ja “ksenofoobia” omapära: mõistete rakendamine sõltub rahvusest ja rassist,UuedUudised,UuedUudised,Arvamus,['rass'],['mustanahali'],
"Tuleb sulgeda tööle pandud immigratsioonipumbad, tagada, et siia saavad vaid kõrgelt spetsialiseeritud ja tõesti vajalik välistööjõud, toetada Eesti majanduse ja ettevõtete ümberkorraldamist ja tehnoloogilist arengut, meie oma inimeste tööhõivet, kutse- ja ümberõpet jne.",2,2,J,J,01.07.2021 16:10,"VIDEO JA FOTOD: Presidendikandidaat Henn Põlluaas oma programmiline kõnes: “Eesti vajab presidenti, kelle nägu on pööratud rahva poole.”",UuedUudised,UuedUudised,Eesti,"['ränne', 'välistööjõud']","['migra', 'välistööjõu']",
"Kui inimesel on püsiv elukoht Soomes või Soome elamisluba, saab ta reisida Soome.",3,3,J,J,29.01.2021 13:20,Kui kaua kehtivad Soome reisipiirangud ning kas eestlased saavad Soomes koroonaproovi anda?,EkspressGrupp,Ärileht,,['mittekodanikud'],['elamisluba'],Ekvard Joakit
"""Ja ennekõike siis küsimuses, mis puudutab elamisloa andmist või kui on abikaasadel mingeid eriõigusi,"" ütles Madise.",3,3,J,J,05.12.2020 09:22,Õiguskantsler: Eestil pole kohustust abieluturismi tunnustada,EkspressGrupp,Delfi,,['mittekodanikud'],['elamisloa'],
"Huth ütles veel, et Iraagi valitsus informeeris teisipäeval komiteed, mis tegeleb Iraagi migrantide võimaliku ebaseadusliku Valgevene kaudu Leetu toimetamise uurimisega.",3,3,J,J,05.08.2021 08:04,EL-i saadik Bagdadis: lennud Iraagist Minskisse peaksid kümneks päevaks katkema,EkspressGrupp,Delfi,,['ränne'],['migra'],Lauri Laugen
"• Pagulaste sugulaste liitumise tõenäosus on väike, sest temaga saavad hiljem liituda vaid abikaasa ja kuni 21-aastased vallalised lapsed.",3,3,J,J,10.08.2015 12:14,Kuidas valitakse Eestisse pagulasi? Vastab Hanno Pevkur,EkspressGrupp,Delfi,,['pagulased'],['pagula'],
